"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NUP35",1.28699966833107e-12,1.40944323595449,0.403,0.159,4.2461980057247e-08
"PLK4",1.96971179538999e-11,2.27876466756099,0.206,0.036,6.49867012653019e-07
"CENPK",8.4770815867934e-11,1.73718913270012,0.335,0.129,2.79684352793075e-06
"GINS1",1.11117019220634e-10,1.68345409699449,0.297,0.099,3.66608381514636e-06
"BARD1",1.01049930287138e-09,1.37876397310231,0.285,0.096,3.33394034996354e-05
"RPL18A",9.07275308861189e-09,-0.392718842721612,0.997,1,0.000299337342652572
"TUBAP2",9.07870615685408e-09,1.77132604834707,0.635,0.467,0.000299533752233087
"RRM2",1.83504625281163e-08,3.32741371953358,0.171,0.039,0.000605436810190143
"SMC2",2.92762136136086e-08,0.758655480715846,0.388,0.186,0.000965910115753789
"SKA3",3.35114732136446e-08,2.26335303533691,0.209,0.066,0.00110564403573778
"RPL13A",3.92081191539619e-08,-0.364703044564234,1,1,0.00129359347524666
"KIF20B",4.00814659007131e-08,1.77844227936911,0.238,0.084,0.00132240780446223
"RPL7",4.02315513509041e-08,-0.413971302569829,0.991,0.997,0.00132735957372038
"EEF1A1",5.32279607842842e-08,-0.32382084296859,1,1,0.00175615011015589
"ASF1B",5.67062924842573e-08,2.3696593149655,0.2,0.063,0.0018709107079331
"HSPA8P8",6.58801351745207e-08,1.56627536914233,0.285,0.129,0.00217358329981296
"HMGB2",6.81365129378404e-08,1.12056701204137,0.421,0.24,0.00224802797135817
"CENPU",6.96310907537041e-08,1.67615321315276,0.329,0.162,0.00229733857723696
"PSMC3IP",8.57150056632197e-08,0.976444363331625,0.285,0.117,0.00282799518184661
"FANCB",1.04571497709084e-07,1.54922550111536,0.2,0.063,0.00345012742391581
"NACAP2",1.15840767369112e-07,1.11150216381966,0.212,0.072,0.00382193443780912
"RPS27",1.21379238660062e-07,-0.443012241577897,0.997,1,0.00400466522111141
"UBE2T",1.25620393045385e-07,1.74318142207067,0.318,0.156,0.0041445936277464
"BUB1B",1.48701681543803e-07,2.40506665951971,0.159,0.039,0.00490611457917471
"EXO1",1.4890998151338e-07,2.29682824901928,0.179,0.051,0.00491298702007094
"SMC4",1.54234302524989e-07,1.09270242060768,0.524,0.341,0.00508865234320698
"PDE7B",1.66217262651911e-07,1.16917423772883,0.474,0.287,0.00548400614667449
"RPS3A",1.70894342941798e-07,-0.413909478186062,0.997,0.994,0.00563831705667875
"RAD51",1.92119074806294e-07,1.95951530328985,0.174,0.048,0.00633858463508405
"PMM1",2.02809883451212e-07,0.726971650622771,0.538,0.335,0.00669130648470583
"FANCD2",2.27798925061797e-07,1.30823557702018,0.324,0.159,0.00751576993456388
"PARPBP",2.31972254178191e-07,1.43390011234878,0.232,0.087,0.00765346058210105
"RHNO1",2.38122353121691e-07,0.81971013086265,0.341,0.168,0.00785637079654396
"TK1",2.61807978948968e-07,1.89696905363958,0.226,0.087,0.0086378306494633
"CDK1",3.01346394031318e-07,2.33500582091472,0.215,0.078,0.00994232157827528
"RPL21",3.03791343230151e-07,-0.400063098397247,0.882,0.955,0.0100229877871924
"EGFR",3.11812606365386e-07,0.929654390344235,0.206,0.069,0.0102876333218132
"SOX4",3.44805142530507e-07,-0.520755847742045,0.982,0.982,0.011376156067509
"LOC100288073",3.51173452826643e-07,1.1950588970998,0.153,0.039,0.0115862657291094
"RPL27P1",3.59740368127985e-07,0.559029173750549,0.185,0.057,0.0118689139656466
"MCM10",3.83320395423822e-07,2.21758373726153,0.159,0.042,0.0126468898062182
"RBBP4P2",4.00681869141832e-07,0.787173798428463,0.203,0.069,0.0132196969085965
"MELK",4.09729955455599e-07,1.74728170087645,0.174,0.051,0.0135182204203466
"TUBBP1",4.22469426112221e-07,1.87150705235378,0.588,0.434,0.0139385337757205
"RPL6",4.23314778735405e-07,-0.34531367378902,0.997,0.997,0.0139664244948172
"LDHBP1",4.35657322738717e-07,0.418820774585559,0.176,0.054,0.0143736420491185
"SPC24",4.78296647467995e-07,1.51814112518349,0.253,0.108,0.0157804412899116
"E2F8",4.90777101420413e-07,2.02953050304721,0.147,0.036,0.0161922089071637
"PEX3",4.90826081543733e-07,0.880868063740195,0.518,0.335,0.0161938249083724
"NUSAP1",5.35670618576076e-07,1.79208355607756,0.268,0.12,0.0176733807186805
"SPC25",5.51666308518384e-07,1.19879158703845,0.159,0.042,0.018201126516947
"BRCA1",5.5206321953684e-07,1.62947605540791,0.203,0.072,0.018214221802179
"SGO2",5.53689489392209e-07,1.6951923863686,0.247,0.105,0.0182678773235171
"RPL27P11",5.64960466261659e-07,0.828233967606527,0.244,0.096,0.0186397406633709
"KIF15",6.07256320886781e-07,1.81218408467343,0.162,0.045,0.0200352077950176
"ATAD2",6.1612263148451e-07,1.55147717069785,0.326,0.168,0.0203277339805684
"GINS2",6.22813324998781e-07,1.45849774333174,0.324,0.171,0.0205484800316848
"RFC3",6.76920555845784e-07,1.26032941715059,0.371,0.21,0.02233363989902
"BRIP1",6.93963737267149e-07,1.76218800824465,0.156,0.042,0.022895945583655
"UBBP4",7.45313177662869e-07,-0.378700192007257,0.979,0.988,0.024590117670631
"ESCO2",7.56804610876011e-07,2.1025393170865,0.15,0.039,0.0249692545266322
"TCF19",7.75514844094371e-07,1.19237310231717,0.274,0.123,0.0255865612512056
"CRYAB",8.4690354293657e-07,-0.601759563644293,0.982,0.991,0.0279418885921063
"CENPE",9.42443267065627e-07,1.25664913660571,0.194,0.066,0.0310940307102962
"MTFR2",9.87374991787208e-07,1.34047672056087,0.118,0.021,0.0325764631040353
"C21orf58",9.97105800992676e-07,1.21886008380015,0.268,0.12,0.0328975116921514
"CALM1P1",1.01874421028788e-06,1.2154091298064,0.179,0.057,0.0336114277300282
"RPL9",1.04202266592872e-06,-0.386716220586337,0.956,0.988,0.0343794538169862
"SGO1",1.05721540249232e-06,1.55373583893334,0.176,0.057,0.0348807077744291
"FAM210B",1.14506362267863e-06,-0.472884212507442,0.924,0.937,0.0377790841030359
"CHTF18",1.26618614851654e-06,1.95979728600478,0.171,0.054,0.0417752795980062
"FEN1",1.28606880079144e-06,1.16956752965371,0.362,0.207,0.0424312679445121
"CLPTM1",1.31094220167451e-06,0.726710231167326,0.665,0.491,0.0432519160598472
"RPS4XP8",1.33903646654188e-06,1.31652803713559,0.271,0.129,0.0441788301406162
"TMEM106C",1.41396674527279e-06,0.552367565447192,0.788,0.635,0.0466510048267851
"PKMYT1",1.50224504525172e-06,2.22066453686225,0.15,0.042,0.04956357077799
