"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOC1",6.00684696190212e-07,Inf,0.971,0.286,0.0198183901814037
"THY1",1.07432118042523e-06,-294.962160419219,0.029,0.619,0.0354450787057695
"RPL23AP18",2.0458019912896e-05,13.5557387761273,0.647,0.048,0.674971450986179
"LY6E",2.0866110138657e-05,Inf,0.912,0.905,0.688435571804712
"PLEKHA5",2.87241763333813e-05,805.771382438459,0.912,0.619,0.947696749767248
"MT2A",4.02046980624661e-05,Inf,0.971,0.952,1
"SCIN",5.96969960654742e-05,609.387160176628,0.588,0.048,1
"ZFAS1",6.03493764989026e-05,Inf,0.971,1,1
"GNAT3",9.81329805344037e-05,-Inf,0.529,0.952,1
"CASD1",9.84192600493766e-05,-282.020678391817,0.118,0.667,1
"SBSPON",0.000164173306843327,-854.770609624738,0.088,0.524,1
"F2RL2",0.000227847796670483,-Inf,0.176,0.619,1
"H2AJ",0.000242058048656103,-194.014121072745,0.029,0.429,1
"TYRP1",0.000251009328759452,Inf,0.618,0.143,1
"CTTN",0.000265225919472115,Inf,1,0.857,1
"SERPINB1",0.000297796144172062,521.496227083221,0.471,0,1
"PPP3CA",0.000337170369856285,299.37573488647,0.882,0.571,1
"MS4A7",0.000362868529934128,Inf,0.618,0.143,1
"PPDPF",0.000366246449963804,10.1238001405742,0.912,0.619,1
"NDUFB2",0.000370565488777059,Inf,1,1,1
"ARHGDIB",0.000403614066928952,302.270813168211,0.853,0.571,1
"MIR99AHG",0.000434077043704656,196.954075183316,0.206,0.667,1
"RRM2B",0.000459582420818824,-323.858769080833,0.382,0.81,1
"DLX1",0.000470749745423302,-42.6033983273363,0.088,0.524,1
"RBM3",0.000513800393718647,Inf,1,0.952,1
"GPR143",0.000517887621023844,434.998756926967,0.794,0.381,1
"IFI27L2",0.000584379038345808,866.364574155781,0.765,0.333,1
"NUP42",0.000586500337019623,-43.9755160170802,0.382,0.857,1
"SCARNA9",0.000609679021129273,70.8216337531361,0.588,0.143,1
"EZR",0.000716145503610015,Inf,0.882,0.571,1
"ZMAT3",0.000733925398177702,-283.463373432708,0.559,0.905,1
"GINS1",0.000737398421454531,561.955920528217,0.5,0.048,1
"PACSIN3",0.000754131992862325,233.020132952761,0.618,0.19,1
"IFI6",0.000829697915191679,Inf,0.853,0.476,1
"HLA-E",0.000846229842773669,Inf,0.941,0.81,1
"N4BP2L2",0.000849538043788926,-75.7152887443596,0.882,0.952,1
"LOC642361",0.000850595936307996,-12.3270468547824,0.059,0.429,1
"MCM8",0.000912467472893017,149.280906533869,0.412,0,1
"CCND3",0.00103657680628055,463.852657747775,0.794,0.476,1
"PPARGC1A",0.00105271302900665,22.3879752357518,0.412,0.762,1
"EXOSC8",0.0010624882033658,239.101845643294,0.824,0.381,1
"CHL1",0.00109789932631718,41.1430107673084,0.529,0.857,1
"CASP4LP",0.00115783530444723,-39.0728105006391,0,0.286,1
"RASSF2",0.00115783530444723,-313.000591572793,0,0.286,1
"PDGFD",0.00115864994137371,-434.186975007466,0,0.286,1
"SMC2",0.00121017535942618,175.313649569982,0.618,0.19,1
"CAMTA2",0.00122442014613298,9.84616842975453,0.088,0.476,1
"CHL1-AS1",0.00125035028765178,-245.953301897009,0.206,0.619,1
"DSE",0.00126440631951884,-90.1420547869112,0.059,0.429,1
"NOP53",0.0013044947400248,628.319892408015,1,0.81,1
"RARB",0.00138055266401839,-87.2568478718094,0.294,0.714,1
"GIGYF1",0.00140366313495945,120.487642762999,1,0.905,1
"DGKI",0.00143345904434852,-195.458975938482,0.324,0.714,1
"WARS1",0.00145757181840854,Inf,0.912,0.619,1
"ZWINT",0.00156019928396925,566.219773350779,0.382,0,1
"CKS1B",0.00158483556893694,129.147408261535,0.824,0.524,1
"MRPL22",0.00187883040087795,235.906841287721,0.882,0.619,1
"DBR1",0.00190948505690308,271.948032498169,0.5,0.095,1
"THRAP3",0.00192691906882681,191.183295019761,0.971,0.952,1
"NAXE",0.00198443225932098,Inf,0.971,0.905,1
"SCAMP3",0.00198480529649862,629.762584189043,1,0.905,1
"NDC80",0.00208322099063651,632.621903230639,0.441,0.048,1
"CENPN",0.00218662668654687,266.867186400788,0.471,0.095,1
"VAC14",0.00226902754642028,-335.400394904711,0.235,0.619,1
"PABPC4",0.00228040676188718,615.335637041116,0.912,0.667,1
"PET100",0.00234257125694453,88.2211758716074,0.912,0.81,1
"PTER",0.00234398171967086,170.91116817379,0.529,0.143,1
"SOX13",0.00244140216665963,579.268260996909,0.588,0.19,1
"GLYR1",0.00245250498851297,-56.9601813676454,0.353,0.667,1
"XYLT2",0.00250440942913983,110.385439428642,0.5,0.095,1
"MED30",0.00251374886501252,172.428259303476,0.588,0.19,1
"FTH1",0.00257420106905285,Inf,1,1,1
"NLGN3",0.00258091670725086,-166.60507512169,0.059,0.381,1
"TAOK1",0.00266628156765762,-9.35131522248162,0.882,0.524,1
"SLC2A3",0.00268470166635422,Inf,0.912,0.762,1
"ETV1",0.00273240885154225,3.63293970419534,0.794,0.905,1
"DSN1",0.00275785747204844,331.124225976254,0.529,0.143,1
"FOXP1",0.00278531722093643,-3.57922423143405,0.471,0.81,1
"LPL",0.00279166589166056,504.248118451342,0.794,0.524,1
"AKIRIN1",0.00282594257393429,274.859607369349,0.735,0.429,1
"SGO2",0.00287579350108818,359.978614739187,0.471,0.095,1
"LOC100128906",0.00287699590286794,612.450246959338,1,1,1
"ALDH4A1",0.00287841122563495,-9.35131566380537,0.029,0.333,1
"VCAN",0.00292562963125604,-Inf,0.382,0.81,1
"IFITM1",0.00297558488486548,Inf,0.471,0.095,1
"PTCD3",0.00303019071306423,-106.011883403366,0.676,0.905,1
"GASK1B",0.00308316449770295,64.2261314215318,0.441,0.905,1
"SF1",0.00312489722512174,97.4081173619779,0.941,0.905,1
"SAP18",0.0031378843101202,606.679466795782,1,0.952,1
"MNS1",0.0031968877774818,120.937008286419,0.412,0.048,1
"AKNAD1",0.00333133231796461,-4.59889428889259,0,0.238,1
"MMP15",0.00333133231796461,-51.8727891719453,0,0.238,1
"IGF1",0.0033336186824159,-63.4405343100217,0,0.238,1
"PART1",0.0033336186824159,-83.612080071448,0,0.238,1
"PAXBP1-AS1",0.0033336186824159,-125.450236257228,0,0.238,1
"ZNF529",0.0034043482628117,-91.5849329944763,0.353,0.714,1
"SMAP2",0.0034317372424869,117.605847934423,0.441,0.048,1
"RPRD2",0.0034753542872283,68.5542198062741,0.706,0.333,1
"SLC3A2",0.00349811491423323,447.983012297996,0.941,0.857,1
"BCL2L12",0.00350824627382839,38.4145631501158,0.647,0.238,1
"NREP",0.0038649528527484,146.45974549124,0.765,1,1
"STARD4-AS1",0.00389579714262418,-72.8227599904591,0.118,0.476,1
"MKRN1",0.00389619499186544,Inf,0.882,0.571,1
"FZD1",0.00389690685830942,-342.613846013896,0.294,0.714,1
"RPS10P2",0.00391538634079231,5.07545503747764,0.059,0.381,1
"AKR1B1",0.00391993614475786,807.214011982506,0.882,0.714,1
"PMS2P1",0.00396900930490576,155.11543096543,0.824,0.571,1
"COMMD7",0.00397030400898894,502.805423829804,0.912,0.762,1
"LOC647132",0.00398864852124623,95.4187356823087,0.559,0.19,1
"CENPU",0.00400560934417451,Inf,0.441,0.095,1
"CENPK",0.00405106028273859,271.974217309542,0.529,0.143,1
"HERPUD1",0.00405916803969387,-Inf,0.882,0.524,1
"CIBAR1",0.00410266376917619,-56.9864368241407,0.412,0.857,1
"PHACTR2",0.00423783569408301,371.520175071409,0.412,0.048,1
"FAM111A",0.0043495801109036,297.878495745432,0.324,0,1
"IFIH1",0.0043495801109036,756.655518748122,0.324,0,1
"ISG15",0.0043495801109036,1004.79906578103,0.324,0,1
"RNPS1",0.00449032032637728,149.345138833981,1,0.905,1
"RAB8A",0.00450706558381768,176.756344169547,0.794,0.524,1
"ADAM12",0.0045228864620437,-97.3552292689213,0.382,0.762,1
"TWSG1",0.00463069431781069,849.052233665112,0.588,0.286,1
"LIMCH1",0.00466140613000444,-22.3617558428056,0.294,0.714,1
"RNU6-6P",0.00469357899737938,83.6534019293425,0.559,0.238,1
"SNORA74D",0.00469961816050497,25.2048756671327,0.412,0.048,1
"GJB2",0.00470109165782757,-289.234153596191,0.088,0.381,1
"ELAC2",0.00475266128835731,730.751240312233,0.794,0.381,1
"ASAP1",0.00477898622575541,147.902505588667,0.853,0.81,1
"KLHL22",0.00483119973835837,-176.703940406925,0.618,0.905,1
"TRAF2",0.00486797981952644,436.441451970884,0.412,0.048,1
"CD9",0.00487320230036027,Inf,1,1,1
"OAS3",0.00488926275375808,368.634785049103,0.441,0.095,1
"BMPR2",0.00492739515682687,388.832515621549,0.735,0.381,1
"SPRTN",0.00492780164070882,824.526417970015,0.676,0.333,1
"PDK1",0.00503402860218691,25.2733653186264,0.529,0.143,1
"NUP35",0.00505555483253589,309.484288372656,0.647,0.19,1
"PRNP",0.00512557972930647,Inf,0.971,0.81,1
"IER2",0.00513280168340866,Inf,0.941,0.905,1
"CIR1",0.0051584866807103,83.1654370960441,0.794,0.381,1
"GRK2",0.00520655424149732,64.2261312598692,0.412,0.048,1
"UCKL1",0.00532304613015601,234.916087307539,0.912,0.571,1
"C19orf48",0.00538080566117198,202.724855346872,0.882,0.667,1
"TFAP2A",0.00539408668814123,Inf,0.941,0.81,1
"SOD3",0.00540017103828382,-227.182383573808,0.029,0.286,1
"POLR2J",0.00541499683848944,237.349536328207,0.941,0.905,1
"PEA15",0.00541834661306649,-182.474720567507,1,0.952,1
