sample_index,immune_score,epi_score,driver_gene_score
T0_A10.S73,-0.59896886,-0.05090114,-0.6220087
T0_A11.S81,1.5973518,-0.05090114,1.168547
T0_A12.S89,0.88233787,-0.05090114,0.31554875
T0_A1.S1,1.2037232,-0.05090114,0.6779387
T0_A2.S9,0.0997576,-0.05090114,0.7769907
T0_A3.S17,0.4945576,-0.05090114,1.026094
T0_A4.S25,-0.29180014,-0.05090114,0.3376889
T0_A5.S33,0.6618959,-0.05090114,0.9502024
T0_A6.S41,-0.9193339,-0.05090114,-1.8594313
T0_A7.S49,0.91021705,-0.05090114,0.81184083
T0_A8.S57,1.3921101,-0.05090114,1.4448432
T0_A9.S65,0.7624149,-0.05090114,0.25644532
T0_B10.S74,1.0249798,-0.05090114,1.1173377
T0_B11.S82,1.0105802,-0.05090114,0.40647817
T0_B12.S90,0.19537438,-0.05090114,-0.07635663
T0_B1.S2,0.71992856,-0.05090114,0.16078885
T0_B2.S10,1.2620039,-0.05090114,0.9334882
T0_B3.S18,-0.8492149,-0.05090114,-0.19774577
T0_B4.S26,1.6052012,-0.05090114,1.55645
T0_B5.S34,0.10556681,-0.05090114,-0.13018161
T0_B6.S42,0.49949694,-0.05090114,0.43503624
T0_B7.S50,0.9399993,-0.05090114,0.9129243
T0_B8.S58,0.5717412,-0.05090114,-0.08841059
T0_B9.S66,1.082165,-0.05090114,0.8986914
T0_C10.S75,1.7655536,-0.05090114,1.8865418
T0_C11.S83,0.7601579,-0.05090114,0.6283739
T0_C12.S91,1.579892,-0.05090114,1.0178412
T0_C1.S3,1.584167,-0.05090114,1.416127
T0_C2.S11,0.91849273,-0.05090114,1.3292238
T0_C3.S19,0.8948118,-0.05090114,0.9515428
T0_C4.S27,1.2774626,-0.05090114,0.2843806
T0_C5.S35,0.60488254,-0.05090114,1.1562752
T0_C6.S43,1.1807641,-0.05090114,0.7679903
T0_C7.S51,1.7865517,-0.05090114,1.5505785
T0_C8.S59,1.7148787,-0.05090114,1.882892
T0_C9.S67,-0.17899978,-0.05090114,-0.1736817
T0_D10.S76,0.63401324,-0.05090114,0.97765034
T0_D11.S84,0.9574784,-0.05090114,1.5812963
