"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGHG1",0,0.670554585673801,0.589,0.213,0
"IGHG3",0,1.06050292308694,0.667,0.314,0
"IGHG4",0,0.98998200985505,0.698,0.324,0
"IGKC",0,1.29869571393292,0.908,0.757,0
"RPL7",0,-0.665593299184506,0.965,0.995,0
"RPL21",1.9193040650926e-307,-0.547625822828304,0.986,0.998,2.68126777893436e-303
"RPS7",8.68581515253335e-297,-0.513248598599101,0.956,0.993,1.21340837680891e-292
"REG4",3.14205484694643e-292,2.23707554389917,0.372,0.102,4.38945062118416e-288
"RPL8",2.12993412791239e-284,-0.485909333535586,0.991,0.999,2.9755179766936e-280
"RPL13",2.89855261779567e-280,-0.429318582931838,0.998,1,4.04927800706055e-276
"RPS3",2.37629325325429e-275,-0.472900548437807,0.985,0.999,3.31968167479624e-271
"COL1A1",1.50636469261174e-262,0.280921077814925,0.364,0.103,2.1043914755786e-258
"RPL6",3.91948031797158e-238,-0.462631416943094,0.963,0.992,5.4755140042063e-234
"RPLP0",1.68324868157515e-234,-0.442670845906214,0.971,0.994,2.35149840816049e-230
"TFF2",5.44469629339253e-226,1.24572797115952,0.256,0.057,7.60624072186937e-222
"RPL18A",1.79380620683994e-223,-0.326111324969626,0.99,0.999,2.50594727095539e-219
"IGLC3",1.39371197085476e-221,0.973907564110733,0.556,0.254,1.9470156232841e-217
"TNNT1",6.65028149829357e-216,0.385066618658025,0.198,0.033,9.29044325311612e-212
"CCL26",1.86293620111857e-213,0.748663533207835,0.198,0.034,2.60252187296264e-209
"RPS27A",2.90746440997289e-207,-0.360515592332817,0.977,0.998,4.06172778073212e-203
"IGFBP6",1.74394543564679e-205,0.731018034893635,0.183,0.029,2.43629177359856e-201
"HSPA1B",1.29613931814846e-204,1.38802875552906,0.81,0.627,1.8107066274534e-200
"CREB3L1",3.4823291345352e-191,0.321645844019036,0.355,0.127,4.86481380094567e-187
"MUC6",3.37011201664149e-187,0.362176250272236,0.13,0.013,4.70804648724816e-183
"RPL13A",1.44123359011224e-185,-0.333855442039164,0.995,1,2.0134033253868e-181
"IGLC2",1.91256901951053e-185,1.14694367769601,0.695,0.421,2.67185892025621e-181
"DUSP4",4.01444914073914e-185,0.588674699103242,0.461,0.218,5.60818544961258e-181
"HSPA6",7.58189515589544e-182,1.41022135549464,0.39,0.16,1.05919075327859e-177
"RPS18",2.05905409944068e-180,-0.290145821383097,0.996,1,2.87649857691863e-176
"KLF2",4.99433194858092e-179,0.473417004814765,0.479,0.226,6.97708173216755e-175
"RPS20",1.51970701100346e-178,-0.380518273118312,0.973,0.996,2.12303069437183e-174
"IFI6",1.83491324007326e-178,1.47471513165495,0.653,0.426,2.56337379638235e-174
"RAMP1",2.16373606295983e-177,0.476527315687314,0.372,0.145,3.02273927995489e-173
"HSPB1",6.96859091538245e-175,1.0983733220693,0.902,0.851,9.73512150878929e-171
"RPS5",6.26990995390846e-172,-0.343200519469839,0.974,0.996,8.75906420561011e-168
"EIF3E",2.97059851182811e-168,-0.519786449247509,0.856,0.927,4.14992612102387e-164
"FABP1",1.63384081813362e-167,-1.20889895785049,0.437,0.715,2.28247562293267e-163
"LGALS1",1.29991537398384e-164,0.312946365271624,0.56,0.289,1.81598177745543e-160
"RPS6",3.59051392428808e-164,-0.36790334484494,0.982,0.999,5.01594795223045e-160
"RPL10",1.17714814958692e-163,-0.435982525419046,0.991,0.999,1.64447596497293e-159
"MX1",3.71202727833353e-163,0.340823932824972,0.334,0.128,5.18570210783195e-159
"MUC5B",2.42560072475496e-160,0.870019519708745,0.403,0.193,3.38856421248267e-156
"NXPH4",1.34794494945594e-159,0.298451511670927,0.169,0.034,1.88307909438994e-155
