"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC004556.1",0,0.690702515301013,0.495,0.149,0
"ATP5E",0,-0.564119869956071,0.973,0.986,0
"AXDND1",0,0.272718185351363,0.329,0.051,0
"CA9",0,0.824651071427873,0.589,0.175,0
"CSTB",0,1.23665733346706,0.968,0.904,0
"DDIT4",0,1.3246234727916,0.81,0.587,0
"DEFA6",0,1.72495288323817,0.229,0.025,0
"EIF6",0,-0.730649680469173,0.855,0.9,0
"EREG",0,-1.24243479023661,0.28,0.616,0
"FADS2",0,0.402555866738339,0.34,0.036,0
"FGFBP1",0,1.08261225818821,0.644,0.279,0
"FIBCD1",0,0.583730203589521,0.561,0.05,0
"GSTP1",0,0.692393987355023,0.981,0.957,0
"HSPB1",0,0.891022523778692,0.949,0.837,0
"IGFL2",0,0.851875826576129,0.3,0.015,0
"KRT17",0,1.67708183106363,0.44,0.129,0
"KRT23",0,-0.893337462569246,0.042,0.547,0
"KRT6B",0,0.824165879438309,0.346,0.057,0
"MRPS21",0,0.597997473020494,0.846,0.574,0
"MT2A",0,1.10727390439053,0.785,0.483,0
"MUC1",0,0.704935608281607,0.696,0.318,0
"MUC5B",0,0.945601092302375,0.55,0.152,0
"MUC6",0,0.543215463130923,0.171,0.002,0
"PABPC1",0,-0.6669838937166,0.938,0.957,0
"PARD6G-AS1",0,0.303275192634069,0.287,0.049,0
"PCSK9",0,0.550118746504105,0.507,0.194,0
"PHLDA3",0,0.533174312604882,0.55,0.148,0
"RPL22L1",0,1.3688750118494,0.928,0.774,0
"RPL30",0,-0.626462209871812,0.988,0.993,0
"RPL36AL",0,0.641457596307299,0.958,0.913,0
"RPS20",0,-0.51946896142011,0.985,0.993,0
"RPS21",0,-0.700757683266419,0.98,0.992,0
"RPS26",0,0.600124738560064,0.982,0.97,0
"RPS27L",0,0.727907319111374,0.957,0.912,0
"S100A14",0,1.21366718206283,0.945,0.832,0
"S100P",0,1.6346653537231,0.952,0.757,0
"SPON2",0,0.51408661359167,0.501,0.163,0
"SREBF1",0,0.607221855809506,0.604,0.267,0
"TMEM176B",0,-0.983288516636299,0.45,0.796,0
"TNFSF9",0,0.355868904755119,0.368,0.071,0
"TNNT1",0,0.633023969095154,0.232,0.025,0
"UQCRH",0,0.608766188870657,0.969,0.943,0
"AREG",1.55998125936916e-305,-1.46336985444624,0.803,0.886,2.17929381933871e-301
"TIMP1",9.5242838043082e-305,1.30874963737868,0.91,0.801,1.33054244746186e-300
"GAPDH",4.54890896478527e-304,0.578313772042529,0.995,0.99,6.35482582380502e-300
"RPL21",1.00318701132562e-303,-0.55023074014518,0.995,0.996,1.40145225482189e-299
"IGFBP6",4.33209097654294e-302,1.1145807837965,0.209,0.023,6.05193109423049e-298
"CYSTM1",7.88932735773084e-297,0.966236328360222,0.937,0.856,1.102139031875e-292
"CCL26",7.27325307348333e-296,1.17312213963591,0.221,0.029,1.01607345436562e-291
"NXPH4",1.37329596282335e-295,0.454228617919085,0.208,0.023,1.91849446006422e-291
"RAC1",2.10151971139851e-294,-0.571254248364982,0.94,0.941,2.93582303682372e-290
"QSOX1",1.50994488987058e-293,0.697986996798825,0.749,0.469,2.1093930111492e-289
"PFDN4",1.57773418369355e-284,-0.679613229802547,0.733,0.84,2.20409465461989e-280
"ABHD2",3.13855723051939e-281,0.574138048508216,0.726,0.452,4.38456445103559e-277
"CD109",3.91707291332224e-280,0.279564618786519,0.156,0.009,5.47215085991116e-276
"CALB1",1.14147101327183e-279,0.478305968476097,0.154,0.008,1.59463500554075e-275
"GAA",2.83465502890898e-277,0.262692444588482,0.442,0.15,3.96001307538584e-273
"RPL26",7.34783672121728e-275,0.480634167426894,0.992,0.989,1.02649278995405e-270
"RPS27",1.06278083479272e-270,-0.683028173513282,0.997,0.999,1.48470482620543e-266
"SCD",7.06593447519418e-269,1.33444804767214,0.742,0.538,9.87111046184627e-265
"RPS4Y1",1.93464412352761e-266,0.833655803950649,0.559,0.233,2.70269784056807e-262
"COX7C",5.31411421765586e-266,0.409860672797405,0.973,0.955,7.42381756206523e-262
"SOD3",6.26850341184454e-266,1.13504336260161,0.725,0.445,8.75709926634682e-262
"CHCHD10",2.99635762025382e-265,0.615801228894396,0.926,0.84,4.18591159549459e-261
"FXYD3",9.71357758847335e-265,0.898623277976657,0.96,0.89,1.35698678910973e-260
"IGFBP2",4.24981153052741e-263,0.854842448893363,0.818,0.642,5.93698670814679e-259
"CFD",9.8026317723291e-263,0.381269785642808,0.442,0.161,1.36942765859438e-258
"ULBP2",2.14172819725799e-262,0.297148949944241,0.243,0.044,2.99199429156941e-258
"TSPAN1",3.47940236208588e-260,1.06269122479279,0.801,0.568,4.86072509983397e-256
"EIF5A",7.36319978489267e-259,0.674358156383342,0.917,0.8,1.02863900994951e-254
"S100A16",3.04737206317569e-257,0.75937603261573,0.918,0.823,4.25717877225644e-253
"PSMA7",1.07896402739776e-254,-0.645224563406338,0.925,0.94,1.50731274627468e-250
"TXNDC17",1.17303096562895e-254,0.619791742246032,0.905,0.824,1.63872425898364e-250
"STARD4",2.11097180032639e-251,0.306140640078847,0.439,0.161,2.94902760505597e-247
"TRIB1",3.58122551071809e-251,-0.768727589957023,0.57,0.758,5.00297203847317e-247
"GALNT1",1.67913007470185e-249,0.441803887117848,0.666,0.385,2.34574471435849e-245
"NPDC1",2.63812050156419e-248,0.420694722296184,0.817,0.544,3.68545434068517e-244
"ANKRD37",1.58986593874837e-247,0.649374100989164,0.541,0.25,2.22104271643147e-243
"SSR4",4.75903833941591e-247,0.523813525111701,0.953,0.931,6.64837656016403e-243
"HSP90AA1",7.40632510242728e-246,0.840090388888023,0.966,0.949,1.03466361680909e-241
"CPE",1.73372986349607e-245,-0.581228428171681,0.005,0.301,2.42202061930401e-241
