"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL13",1.31013220793163e-306,-0.640439182015253,1,1,4.41435946140484e-302
"IGHG4",1.57570332332744e-298,1.03461852806946,0.685,0.17,5.30917477761946e-294
"HSPA1B",6.38548570141238e-271,1.56961292950451,0.9,0.424,2.15152555223389e-266
"IGKC",2.39411225270601e-265,1.67641865149703,0.947,0.589,8.06672182426763e-261
"IGHG3",1.67718597686249e-261,1.06374705175796,0.666,0.169,5.65111043044048e-257
"IGHG1",7.71057689517765e-252,0.856190512400428,0.567,0.091,2.59800177906116e-247
"RPL18A",8.57888027576336e-225,-0.391588763939476,1,1,2.89056792011571e-220
"FOS",5.15499300337628e-219,1.03462400986239,0.969,0.677,1.7369233425576e-214
"JUN",1.18275982809064e-213,0.986249511772672,0.984,0.749,3.98519096476861e-209
"IER5",9.11113229934562e-201,0.541507965963467,0.682,0.221,3.06990491694151e-196
"IGLC3",1.70899233048217e-200,0.912569252396354,0.56,0.133,5.75827875832664e-196
"IGLC2",7.86749598283166e-199,1.49174400078767,0.731,0.276,2.6508740964553e-194
"RPL7",9.70394626694649e-193,-0.512910454041532,1,1,3.26964765518495e-188
"EGR1",7.82280775357891e-190,0.710969045628929,0.863,0.442,2.63581684449088e-185
"BAG3",8.26772798967893e-187,0.698943254448346,0.668,0.222,2.78572826884242e-182
"RPL21",4.07605678234383e-185,-0.493750242031017,1,1,1.37338657224293e-180
"HSPA5",1.05281143435783e-184,0.768164941686012,0.977,0.677,3.54734284692526e-180
"DNAJA1",1.11629293260994e-183,0.749421464350405,0.978,0.686,3.76123740713594e-179
"RPS15",1.482463461949e-183,-0.328576769384466,1,1,4.99501238869097e-179
"SERPINH1",1.38919322314175e-180,0.624422604546594,0.719,0.269,4.68074764605382e-176
"NDUFA12",4.5323883340073e-180,0.426533018306587,0.932,0.481,1.52714292526042e-175
"RPL8",5.01620717711941e-179,-0.427206148665088,1,1,1.69016084625861e-174
"HOXA9",1.59138310568522e-178,0.252265223739247,0.507,0.105,5.36200623629578e-174
"RPS19",3.32120186160319e-177,-0.415391503658305,1,1,1.11904575524858e-172
"KLF2",6.60249056689561e-175,0.507003252894733,0.487,0.111,2.22464317160981e-170
"RPS18",4.2601427491798e-174,-0.384198168418665,1,1,1.43541249790864e-169
"CYB5R3",5.7163704053521e-174,0.252839675083216,0.714,0.236,1.92607384437934e-169
"HIST1H4C",2.19107800543621e-169,0.795165858878595,0.78,0.351,7.38261823151677e-165
"HSP90AA1",4.14652347338599e-167,0.841659372924485,1,0.974,1.39712961912267e-162
"UBE2S",1.30373278260844e-164,0.500635016072373,0.839,0.414,4.39279723772089e-160
"RPLP0",1.19126656954167e-159,-0.417056624076483,1,0.997,4.01385357941371e-155
"RPL13A",5.31090536893236e-157,-0.38107049137369,1,1,1.78945645500807e-152
"DNAJB11",2.13695991655939e-156,0.35473373686574,0.871,0.413,7.20027274285522e-152
"ACTN1",3.87796347981234e-155,0.271069053766027,0.789,0.324,1.30664101488797e-150
"TSPAN13",5.32856839106407e-154,0.504439912978965,0.829,0.39,1.79540783368513e-149
"RPS3",6.69146356802623e-154,-0.385893947904848,1,1,2.25462173461076e-149
"NUCB2",1.08900344840063e-153,0.276495905165102,0.571,0.169,3.6692882190411e-149
"DHRS7",2.2047490543855e-153,0.294975193305647,0.752,0.302,7.42868146384652e-149
"DNAJB1",1.10130522059207e-151,0.920336103795512,0.974,0.712,3.71073781026291e-147
"RPL10",2.14773565438944e-151,-0.498454513516171,1,1,7.23658051389978e-147
"IFI6",7.7464300131631e-151,1.41515425775918,0.672,0.299,2.61008212863517e-146
"DAP",1.50388837566256e-150,0.265036271226305,0.783,0.316,5.06720149295743e-146
"SMC4",1.79419922076433e-150,0.299320142515876,0.563,0.172,6.04537485444332e-146
"SELM",1.91107788933667e-148,0.520928090762063,0.67,0.276,6.43918584033097e-144
"ECI1",1.17148644229149e-146,0.268538136889688,0.749,0.304,3.94720641865695e-142
"RPL34",1.2019026260173e-146,-0.381085835256377,1,1,4.04969070810268e-142
