"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL13",2.96966471567039e-277,-0.552953767426663,0.999,0.999,4.14862160779153e-273
"RPL21",3.87682455062398e-230,-0.496536282069179,0.996,0.995,5.4159238972217e-226
"COL6A1",6.41307047457756e-229,0.25102180611061,0.241,0.047,8.95905945298486e-225
"KLF2",1.16511309842549e-226,0.457558629249047,0.527,0.221,1.62766299850041e-222
"TFF2",6.96135062547144e-209,1.23401819047726,0.261,0.062,9.7250068237836e-205
"IGHG4",4.95097747673406e-202,0.510268225768476,0.661,0.345,6.91651553499749e-198
"HSPA6",1.3565497822383e-200,1.22331197818145,0.418,0.159,1.89510004578691e-196
"IGHG1",4.35953004945661e-197,0.525533238663266,0.54,0.237,6.09026347909089e-193
"IGFBP6",1.05801805696609e-190,0.55230844590751,0.187,0.033,1.47805122558162e-186
"PTTG1IP",5.75435644142385e-189,0.402145119031881,0.807,0.528,8.03883594866912e-185
"RPL18A",3.85000037417756e-187,-0.324891674759754,0.998,0.997,5.37845052272605e-183
"TFF1",2.49424124356292e-186,1.43259249201515,0.668,0.387,3.4844550172574e-182
"TNNT1",2.64627732643539e-186,0.364170075678844,0.197,0.038,3.69684942503024e-182
"MUC6",1.29226254738892e-185,0.372309189722408,0.136,0.015,1.80529077870232e-181
"QSOX1",7.37318614471752e-184,0.560522690788242,0.745,0.476,1.03003410441704e-179
"PTGS2",7.21455162478287e-183,0.261087239784032,0.197,0.039,1.00787286198217e-178
"MX1",2.63630434792136e-182,0.320285859061473,0.36,0.127,3.68291717404614e-178
"HSPA5",8.58785242671167e-182,0.625187498135122,0.958,0.771,1.19972298401162e-177
"HSPA1B",1.86961391983864e-181,0.947062887860512,0.875,0.615,2.61185064601458e-177
"RPL8",1.16947130324883e-179,-0.387470803245866,0.997,0.997,1.63375141063861e-175
"RPS19",1.64939659077128e-176,-0.423944643482739,0.998,0.999,2.30420703730747e-172
"ISG15",4.85190806494077e-176,0.74172355133441,0.85,0.585,6.77811556672225e-172
"IGHG3",8.67737784308767e-175,0.532915390220385,0.639,0.332,1.21222968467935e-170
"RPS18",6.20442469651799e-171,-0.367199230433472,0.999,0.999,8.66758130103563e-167
"DUSP4",8.91738611346578e-171,0.469209522122915,0.481,0.22,1.24575884005117e-166
"GPRC5C",5.1232426702504e-168,0.304828645796761,0.622,0.337,7.1571700103398e-164
"RPL7",4.58198692511384e-167,-0.441549293614149,0.993,0.987,6.40103573438404e-163
"ISG20",8.2927305486267e-166,0.38076104226932,0.607,0.319,1.15849445764315e-161
"ACHE",4.06493378723242e-163,0.293333488775644,0.328,0.116,5.67871250076369e-159
"BACE2",3.21347235336413e-161,0.406316471540791,0.829,0.582,4.48922087764969e-157
"NXPH4",1.26630221790481e-160,0.294978551727288,0.177,0.036,1.76902419841303e-156
"CCL26",6.16261102526831e-159,0.657571687055098,0.188,0.041,8.60916760229982e-155
"RPL13A",6.69407930729924e-155,-0.350078292072528,0.998,0.999,9.35162879229704e-151
"PLAC8",9.87009990100797e-155,0.646247809277081,0.553,0.295,1.37885295617081e-150
"EEF1D",1.11217991084945e-150,-0.424145619680809,0.988,0.967,1.55371533545668e-146
"SLC16A3",1.7912409434649e-150,0.30951226174082,0.701,0.417,2.50236359802046e-146
"RPS3",2.26254984888923e-149,-0.34471436166606,0.996,0.995,3.16078213889826e-145
"KRT6A",2.136947770925e-148,0.619769081919154,0.114,0.013,2.98531603598222e-144
"IGFL2",7.15354689775027e-148,0.338208134278364,0.198,0.048,9.99350501615712e-144
"LGALS1",4.08708452948266e-146,0.33737971450183,0.575,0.293,5.70965708768728e-142
"PPIC",1.60324653120545e-144,0.293488302837909,0.729,0.449,2.23973540409401e-140
"ATP1B1",4.38589586894285e-142,0.615111183904572,0.952,0.798,6.12709652891316e-138
"LRP10",5.09470777364439e-142,0.29530746865293,0.801,0.54,7.11730675978121e-138
"CD55",1.66543117025465e-141,0.882895151304581,0.837,0.627,2.32660734484575e-137
"CTSB",1.65465674438792e-139,0.319558564437835,0.912,0.709,2.31155547190993e-135
"PSAP",2.06557159281504e-139,0.363799572538792,0.964,0.789,2.88560351516261e-135
"RPS15",1.16635885826506e-138,-0.369852806654273,0.998,0.998,1.62940332499629e-134
"RPLP0",1.94406206851808e-138,-0.342181657210478,0.995,0.987,2.71585470971975e-134
"ERO1A",5.91084266617064e-138,0.430518188549425,0.757,0.507,8.25744720464039e-134
"OAS1",7.79933022801629e-138,0.287261245913516,0.622,0.35,1.08956643285388e-133
"RPL6",7.99792413291581e-138,-0.355738656987422,0.995,0.983,1.11731000136834e-133
"BAG3",1.00163869920947e-137,0.432717190447276,0.639,0.376,1.39928926279564e-133
"GCNT3",7.83468579217638e-136,0.25647896390193,0.421,0.19,1.09450560516704e-131
"TSPAN13",1.14014552827993e-132,0.353011335758582,0.789,0.542,1.59278330300707e-128
