"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGHG1",0,0.650152978914886,0.521,0.184,0
"IGHG3",0,0.920031736383125,0.613,0.282,0
"IGHG4",0,0.824306203429632,0.636,0.293,0
"RPL13",0,-0.475415524649226,0.998,1,0
"RPL18A",0,-0.341627803234723,0.993,0.999,0
"RPL21",0,-0.556900727215078,0.99,0.999,0
"RPL7",0,-0.587149431559297,0.975,0.995,0
"RPL8",0,-0.461061271719988,0.994,0.999,0
"RPS7",0,-0.445140095955836,0.969,0.992,0
"RPS3",4.84518286022813e-307,-0.423267143287336,0.989,0.999,7.9092765010364e-303
"RPL6",1.67575137513829e-305,-0.45083341478552,0.974,0.991,2.73549654477575e-301
"IGKC",4.42699979805485e-303,1.10885203917534,0.901,0.735,7.22663447034473e-299
"KLF2",3.32738583301679e-280,0.514790175399304,0.472,0.186,5.43162463381662e-276
"RPLP0",1.88946507413358e-267,-0.40749012746229,0.98,0.993,3.08436278701566e-263
"RPL13A",1.71208198744625e-259,-0.353710900577149,0.997,1,2.79480263630726e-255
"HSPA1B",9.89084413436781e-253,1.26426215411521,0.818,0.591,1.6145813964942e-248
"RPS18",1.11957584053119e-250,-0.320386126772453,0.998,1,1.82759560208312e-246
"RPS5",3.93460013802636e-230,-0.345111600619012,0.981,0.996,6.42284126531423e-226
"RPS19",1.63976263304388e-224,-0.319813828074036,0.997,1,2.67674852218083e-220
"HSPA6",3.48891595093735e-224,1.37174037260733,0.366,0.133,5.69530639831014e-220
"TFF2",1.14215630597353e-222,1.22698044164243,0.218,0.043,1.86445595387119e-218
"RPS27A",5.37516664019889e-221,-0.322278316328537,0.984,0.998,8.77442202346068e-217
"RPS20",5.47649815643778e-220,-0.362993149015239,0.98,0.996,8.93983559056904e-216
"IGLC3",6.2077276803884e-219,0.743648696094022,0.505,0.229,1.0133494665466e-214
"REG4",4.33267092431044e-213,1.97406449230344,0.299,0.094,7.07265201684437e-209
"LGALS1",1.83986938027115e-212,0.39262657289526,0.536,0.255,3.00340277635463e-208
"EEF1D",5.9756435025813e-198,-0.366278703879206,0.967,0.973,9.75464045361371e-194
"DUSP4",1.07786133630986e-197,0.51350452015821,0.428,0.194,1.75950084539221e-193
"RPS2",2.71279200437798e-192,-0.34676738008454,0.997,1,4.42836166794661e-188
"HSPB1",9.93235168276846e-191,0.973025949038638,0.911,0.837,1.62135708869512e-186
"ABHD3",9.53465925555121e-188,0.291419421475518,0.516,0.266,1.55643777687618e-183
"RPL11",6.65326672022941e-187,-0.289989925974819,0.991,0.998,1.08607925941025e-182
"RPL30",9.67969501064286e-183,-0.343387568274807,0.983,0.997,1.58011341353734e-178
"MUC1",1.09905241472725e-181,0.556618619969574,0.563,0.32,1.79409316180077e-177
"MX1",1.60046243067715e-181,0.295692697991652,0.305,0.108,2.61259487183738e-177
"ISG15",1.0734695881471e-177,0.789629144692999,0.782,0.565,1.75233175569132e-173
"RPS9",1.85390506598694e-176,-0.274860098751369,0.988,0.997,3.02631462971709e-172
"RPL23A",5.94802325769985e-175,-0.275444019164134,0.985,0.998,9.70955316586924e-171
"TNNT1",1.04595735286283e-173,0.300676752467481,0.157,0.026,1.70742078281328e-169
"EIF3E",2.31563412927989e-172,-0.461142299375389,0.892,0.92,3.78004115263649e-168
"SLC25A6",3.62346723593762e-171,-0.413875462429353,0.945,0.967,5.91494791594458e-167
"RPL32",3.71682385914475e-169,-0.276255515816037,0.992,0.999,6.06734326766788e-165
"IGLC2",5.42431263394475e-169,1.18795705750685,0.647,0.399,8.85464794365141e-165
"RPLP1",2.26782175367782e-165,-0.322775077950968,0.993,1,3.70199223070367e-161
"BAG3",1.17510809679488e-164,0.606719880584562,0.583,0.351,1.91824645720796e-160
"IFI6",2.95546313441658e-164,1.27734459452755,0.618,0.405,4.82449802062163e-160
"CREB3L1",3.81029943942562e-162,0.251899940168385,0.304,0.115,6.21993280491838e-158
"CCL26",9.5432178419168e-161,0.570691482226555,0.155,0.028,1.5578348805145e-156
"IGFBP6",1.0110434998172e-160,0.538401752960003,0.144,0.023,1.6504274091016e-156
"RPL3",8.08503893568973e-160,-0.324685430786411,0.98,0.995,1.31980175586199e-155
"RPS15A",1.61635813458873e-159,-0.267262597215623,0.987,0.998,2.63854301890264e-155
"RPL23",4.41000855171619e-159,-0.277285560203186,0.963,0.984,7.19889795982151e-155
"TFF1",5.032125828902e-157,1.66049357641377,0.587,0.372,8.21444220309963e-153
"RGS2",6.32953508829083e-156,0.336676316077583,0.29,0.107,1.03323330781259e-151
"SERPINA1",1.99149518516924e-154,0.698505188826692,0.434,0.22,3.25091674027027e-150
"RPL14",6.1825987003129e-153,-0.291894852625488,0.984,0.996,1.00924741183908e-148
"TSPAN13",7.75726303893913e-152,0.450153565793345,0.725,0.525,1.26629561847642e-147
"MUC5B",1.40831926790115e-151,0.723119126572447,0.365,0.177,2.29894037292184e-147
"HSPA5",2.97106663582286e-150,0.564779858067001,0.883,0.771,4.84996917631723e-146
"RPL10",1.36626629863661e-147,-0.35756913273294,0.993,1,2.23029310589439e-143
"IGFL2",1.46383325835111e-147,0.307348717330939,0.163,0.035,2.38956141093235e-143
"MUC6",6.86592590510309e-147,0.294610816169577,0.1,0.008,1.12079374474903e-142
"IER5",7.69090718066835e-147,0.447994738822472,0.592,0.378,1.2554636881723e-142
"RPS6",8.11274043997547e-147,-0.308509432310146,0.988,0.999,1.3243237494216e-142
"RPS13",8.17084537679566e-147,-0.274255688924391,0.973,0.993,1.33380879930812e-142
"JUN",1.42664949918874e-146,0.736265196839968,0.935,0.833,2.32886264247571e-142
"NUCB2",2.53911077371241e-146,0.264769579696798,0.496,0.275,4.14484442700814e-142
"QSOX1",3.18821469860972e-146,0.510540246817218,0.659,0.465,5.20444167401051e-142
"COMMD6",1.68911364952718e-143,-0.352362413550355,0.91,0.933,2.75730912148817e-139
"RPS4X",4.04952858578895e-143,-0.305731906819993,0.985,0.999,6.61045046344188e-139
"RPS25",1.95694991751209e-135,-0.255241036371398,0.975,0.994,3.19452504534674e-131
"RPL5",3.46184594461104e-134,-0.333643274576131,0.952,0.982,5.65111731998307e-130
"SELM",5.02260205442486e-133,0.440570658283691,0.585,0.388,8.19889559364314e-129
"PMP22",6.03982912984039e-133,0.428837566748751,0.295,0.13,9.85941707155145e-129
"NACA",2.28599648040497e-132,-0.2679086665516,0.956,0.984,3.73166065461308e-128
