"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C20orf27",0,-0.51646303608957,0.526,0.754,0
"COMMD6",0,-0.507383846785175,0.892,0.96,0
"CRLS1",0,-0.544474587654936,0.606,0.811,0
"DNAJC15",0,-0.518633734608377,0.701,0.911,0
"EEF1D",0,-0.454820549775247,0.957,0.986,0
"EIF3E",0,-0.627140161308338,0.867,0.954,0
"EIF3H",0,-0.520006603992741,0.854,0.952,0
"EIF6",0,-0.633707934038552,0.839,0.942,0
"EREG",0,-0.853922954409234,0.385,0.7,0
"ERGIC3",0,-0.491838826593281,0.834,0.932,0
"FCGRT",0,-0.822854393444466,0.667,0.866,0
"FERMT1",0,-0.662235549983427,0.633,0.835,0
"FIBCD1",0,0.327619326050161,0.292,0.035,0
"FKBP1A",0,-0.749315213833601,0.766,0.933,0
"IGFBP2",0,1.05583641387245,0.756,0.604,0
"IGHG4",0,0.930073363691671,0.551,0.267,0
"IGKC",0,1.24980917753035,0.881,0.7,0
"ISG15",0,1.11544584799098,0.749,0.527,0
"ITPA",0,-0.540711777649984,0.576,0.805,0
"MUC1",0,0.849018675552723,0.546,0.257,0
"NPTX2",0,-0.280473923691957,0.015,0.241,0
"PABPC1",0,-0.623573355373544,0.926,0.98,0
"REG4",0,3.17879664017176,0.294,0.031,0
"RPL13",0,-0.520456031856051,0.999,1,0
"RPL13A",0,-0.361310803884881,0.998,1,0
"RPL18A",0,-0.334957240049783,0.995,1,0
"RPL21",0,-0.677517822265193,0.992,0.999,0
"RPL22L1",0,1.32710358802888,0.844,0.772,0
"RPL30",0,-0.520272016045749,0.986,0.998,0
"RPL6",0,-0.493414205654785,0.975,0.996,0
"RPL7",0,-0.736051076440585,0.981,0.996,0
"RPL8",0,-0.694742546902256,0.995,1,0
"RPS19",0,-0.337291135600316,0.998,1,0
"RPS20",0,-0.516818211493992,0.984,0.998,0
"RPS21",0,-0.448465809661693,0.983,0.995,0
"RPS26",0,0.641942629329118,0.963,0.982,0
"RPS7",0,-0.497923000544277,0.973,0.996,0
"S100A6",0,0.849406996098272,0.999,0.999,0
"S100P",0,1.42155868561375,0.853,0.748,0
"SNRPB",0,-0.688194466542808,0.854,0.946,0
"TFF1",0,2.76934579675433,0.614,0.272,0
"TMEM230",0,-0.591878663423034,0.72,0.882,0
"RPS3",1.68469544250454e-307,-0.388370567354735,0.992,0.999,2.75009684034442e-303
"TNNC2",2.81000690289377e-303,-0.383596657792346,0.264,0.568,4.58705526828378e-299
"COX7C",4.21345724071874e-299,0.425005425224982,0.945,0.974,6.87804759974926e-295
"KRT23",1.58129942558165e-294,-0.314938572450382,0.263,0.609,2.58131318231949e-290
"SLC52A2",1.02607608963884e-289,-0.427781120854628,0.615,0.795,1.67496660872644e-285
"RPL36AL",1.01116303395865e-282,0.500487563599161,0.91,0.936,1.6506225366341e-278
"RPS18",1.3573226467819e-281,-0.313045378957496,0.998,1,2.21569348860678e-277
"OLFM4",1.49260680522293e-281,-0.895614441315689,0.347,0.649,2.43653134884591e-277
"NOP56",4.38478627834546e-281,-0.423577893870793,0.653,0.837,7.15772512077112e-277
"XXbac-BPG32J3.19",1.42087218918643e-272,-0.477497306209601,0.228,0.499,2.31943176162792e-268
"GAS6",5.05270018042477e-271,-0.36515846513069,0.38,0.641,8.24802777452539e-267
"RPS5",1.1388365320076e-269,-0.313461138348591,0.985,0.998,1.8590367548492e-265
"KLF2",1.26944332520365e-269,0.44430230522606,0.415,0.15,2.07223928406244e-265
