"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CES2",0,-0.716910053937389,0.272,0.618,0
"FKBP1A",0,-0.698871230107079,0.686,0.912,0
"FTH1",0,-0.779722556177672,0.976,0.998,0
"IGF2",0,2.24951750981678,0.383,0.113,0
"IGHA1",0,1.22392371509456,0.712,0.425,0
"IGKC",0,1.55891872845428,0.938,0.734,0
"IGLC2",0,1.74090212861566,0.744,0.382,0
"IGLC7",0,0.75501024217893,0.194,0.006,0
"ITLN1",0,2.72814170661424,0.175,0.009,0
"ITPA",0,-0.528928320743447,0.486,0.768,0
"NGFRAP1",0,0.550943325176538,0.444,0.115,0
"RPL11",0,-0.430431079923586,0.991,0.998,0
"RPL7",0,-0.606912562071829,0.973,0.994,0
"RPL8",0,-0.541196686186782,0.994,0.998,0
"RPS3",0,-0.482189677565557,0.991,0.997,0
"RPS4Y1",0,-1.0570513535606,0.053,0.406,0
"SLC25A6",0,-0.63137760666246,0.919,0.975,0
"SLPI",0,-1.03181175292016,0.489,0.779,0
"XIST",0,1.14155130162252,0.66,0.195,0
"CRLS1",7.5512336085462e-307,-0.534987672082241,0.526,0.778,1.0549073351139e-302
"RPL26",9.5274058793218e-293,-0.461803490269275,0.974,0.996,1.33097860134125e-288
"IGHG4",1.50478504018513e-292,0.800879008884366,0.643,0.319,2.10218470113863e-288
"MRPS26",3.99166258848963e-268,-0.483379865349248,0.554,0.789,5.57635263612002e-264
"RP11-462G2.1",1.65527526387042e-266,0.754292551966696,0.4,0.145,2.31241954362697e-262
"PRAP1",2.70352939163996e-258,-0.658574903112015,0.469,0.787,3.77683056012102e-254
"PLA2G2A",6.89104442502757e-256,-1.31228133968484,0.107,0.401,9.62678906176352e-252
"RPL13",5.52954019852737e-255,-0.343952997263226,0.999,0.999,7.72476765734273e-251
"IGHG3",1.48514851324407e-254,0.987640701130188,0.602,0.315,2.07475247300196e-250
"NUDT14",7.28469754794313e-252,-0.389028223954432,0.383,0.69,1.01767224744766e-247
"FCGRT",1.07357566819631e-251,-0.660128568903908,0.609,0.826,1.49978520847025e-247
"RBCK1",5.17254089731258e-247,-0.657935754442888,0.722,0.887,7.22603963354567e-243
"RPL10",3.56790371451247e-245,-0.493378207472619,0.994,0.999,4.98436148917392e-241
"C20orf27",3.35538469573956e-244,-0.472914447469009,0.447,0.713,4.68747241994817e-240
"RPS7",2.02885677732624e-242,-0.42367043567461,0.963,0.993,2.83431291792476e-238
"TMEM230",8.67364088391163e-242,-0.489089949489877,0.655,0.857,1.21170763148245e-237
"IGHA2",8.91082601140515e-241,0.78198433789106,0.283,0.077,1.2448423937933e-236
"EIF1AY",2.83469580339335e-234,-0.362226289848392,0.039,0.304,3.96007003734051e-230
"RPL21",2.85057557054297e-225,-0.427701551548566,0.989,0.998,3.98225407204853e-221
"RPL10A",8.71181490260997e-224,-0.350839384910446,0.981,0.995,1.21704054189461e-219
"TMEM45B",1.85691211905436e-223,-0.450761115847109,0.431,0.705,2.59410623031894e-219
"CLCA1",5.48346592803296e-217,1.16344616673764,0.12,0.005,7.66040190146204e-213
"GAS6",2.93652585444853e-216,-0.322263373842333,0.296,0.592,4.10232661866459e-212
"SNRPB",1.01589532230406e-215,-0.506936310535503,0.822,0.93,1.41920576525878e-211
"JCHAIN",6.45959766944135e-215,0.63780754969343,0.434,0.195,9.02405794420956e-211
"IFI16",3.29063851367771e-214,0.340849668841604,0.3,0.094,4.59702200360776e-210
"FCGBP",8.44048155134965e-214,1.31418968922284,0.223,0.05,1.17913527272355e-209
"SPINK4",9.06970414009596e-211,2.84126227941428,0.293,0.093,1.26703766837141e-206
"FERMT1",2.55256064102603e-210,-0.522858571718676,0.605,0.783,3.56592721551337e-206
"RPL39",2.75633297111587e-204,-0.431051180128366,0.988,0.997,3.85059716064886e-200
"RPL13A",4.19508218145894e-204,-0.290628393704533,0.997,0.999,5.86052980749813e-200
"SFN",6.51713443282313e-198,-0.780268528238335,0.73,0.878,9.10443680265391e-194
"RPS18",1.41010474756781e-196,-0.254922567497501,0.998,1,1.96991633235223e-192
"IGHM",8.67939473756628e-191,0.378026914235415,0.278,0.089,1.21251144483801e-186
"RPL3",1.34711650692217e-185,-0.36982828472284,0.974,0.996,1.88192176017028e-181
"RPS19",2.6634857321742e-185,-0.252879841193001,0.997,1,3.72088956784736e-181
"LYZ",3.41547602550716e-183,1.78219110318826,0.592,0.392,4.7714200076335e-179
"RPL5",5.87969506237999e-182,-0.380836024515168,0.936,0.986,8.21393400214484e-178
"RPL18",1.04759630686192e-181,-0.268729083921642,0.986,0.997,1.4634920406861e-177
"TRIB3",5.39673491884278e-180,-0.610396649201792,0.353,0.592,7.53923868162337e-176
"ABHD12",1.34863977455831e-176,-0.330894497837794,0.475,0.699,1.88404976505796e-172
"RPS8",1.48432112954558e-175,-0.332933008022093,0.985,0.997,2.07359661797517e-171
"RPS5",1.01203399660786e-174,-0.28520548941581,0.98,0.995,1.41381149326118e-170
"MKKS",4.5056038435717e-171,-0.34948415132748,0.58,0.792,6.29432856946966e-167
"ARHGDIB",2.90461164194531e-169,0.431230949508791,0.469,0.26,4.0577424637976e-165
"DDRGK1",1.34605397861606e-168,-0.312212256873094,0.57,0.776,1.88043740812663e-164
"IGHG1",2.89924046476458e-165,0.575135366876751,0.472,0.232,4.05023892927612e-161
"IDH3B",4.15400579242144e-164,-0.324522211945041,0.511,0.725,5.80314609201275e-160
"HLA-DRB5",1.39379515332848e-163,0.412556906689006,0.229,0.068,1.94713182919989e-159
"CCND2",3.21978388426793e-162,-0.283929351623085,0.409,0.696,4.4980380863223e-158
"PRSS2",1.16562995479797e-161,1.65678367578799,0.129,0.018,1.62838504685276e-157
"DNAJC15",3.59147697347865e-161,-0.417160648549269,0.677,0.855,5.01729333194967e-157
"ANXA1",3.65521034189884e-161,0.572925735644886,0.543,0.315,5.10632884763268e-157
"MT1G",7.80650736434978e-161,-0.393598522126938,0.228,0.488,1.09056907879966e-156
"S100A11",3.00123043800282e-157,0.68719459294475,0.956,0.977,4.19271892188993e-153
"SLC9A3R1",8.34714652067419e-154,-0.3059213554396,0.439,0.656,1.16609636893818e-149
"HEPACAM2",1.40039025398827e-153,0.406848463273578,0.147,0.027,1.95634518482161e-149
"RPP25",3.66503968939048e-153,-0.25371743953132,0.278,0.51,5.1200604460785e-149
"RBP4",5.94062461452136e-153,0.694253313254748,0.325,0.153,8.29905258648635e-149
"CPE",6.49130326083885e-153,0.605235411086241,0.374,0.179,9.06835065539187e-149
"BSG",2.91638950295388e-152,-0.461595046588936,0.814,0.925,4.07419613562656e-148
"RPS4X",1.33854366453897e-148,-0.286325585652642,0.985,0.998,1.86994549936094e-144
"HULC",4.39811283927439e-147,-0.599436184335655,0.063,0.26,6.14416363646633e-143
"PFN1",8.52872271387804e-146,-0.391258161373,0.911,0.976,1.19146256312876e-141
"CTSH",1.51418165726471e-145,-0.304473205810814,0.47,0.704,2.1153117751988e-141
"SLC38A5",8.01313100580606e-143,-0.260455528062225,0.271,0.509,1.11943440151111e-138
"OLFM4",3.77248800782521e-142,-0.459321052031573,0.309,0.569,5.27016574693181e-138
"TSPAN6",9.01384962385415e-142,-0.333088689522968,0.502,0.703,1.25923479245242e-137
"MRPS21",1.16040118671354e-141,-0.276277653528132,0.462,0.703,1.62108045783881e-137
"PSMF1",1.44042390818089e-141,-0.287243032831745,0.553,0.744,2.0122721997287e-137
"C8orf4",1.82659656583969e-141,1.41702892756773,0.567,0.411,2.55175540247804e-137
"INSIG1",1.74916155957486e-139,-0.710403788877725,0.478,0.668,2.44357869872608e-135
"CD99",3.61792627846991e-137,-0.360289757931668,0.676,0.847,5.05424301102246e-133
"RPLP1",6.82275496545937e-136,-0.30060088887519,0.996,0.998,9.53138868674674e-132
