"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL13",1.31013220793163e-306,-0.647145313648375,1,1,4.41435946140484e-302
"IGHG4",1.57570332332744e-298,2.44258238962335,0.685,0.17,5.30917477761946e-294
"HSPA1B",6.38548570141238e-271,2.08573445093719,0.9,0.424,2.15152555223389e-266
"IGKC",2.39411225270601e-265,2.07764225127956,0.947,0.589,8.06672182426763e-261
"IGHG3",1.67718597686249e-261,2.56771087578481,0.666,0.169,5.65111043044048e-257
"IGHG1",7.71057689517765e-252,2.72662332998756,0.567,0.091,2.59800177906116e-247
"RPL18A",8.57888027576336e-225,-0.399560266645643,1,1,2.89056792011571e-220
"FOS",5.15499300337628e-219,1.28035332305279,0.969,0.677,1.7369233425576e-214
"JUN",1.18275982809064e-213,1.21164569613298,0.984,0.749,3.98519096476861e-209
"IER5",9.11113229934562e-201,1.68448496619484,0.682,0.221,3.06990491694151e-196
"IGLC3",1.70899233048217e-200,2.54756139790208,0.56,0.133,5.75827875832664e-196
"IGLC2",7.86749598283166e-199,2.47289893801568,0.731,0.276,2.6508740964553e-194
"RPL7",9.70394626694649e-193,-0.521510904687885,1,1,3.26964765518495e-188
"EGR1",7.82280775357891e-190,1.18267766673198,0.863,0.442,2.63581684449088e-185
"BAG3",8.26772798967893e-187,1.74044231904895,0.668,0.222,2.78572826884242e-182
"RPL21",4.07605678234383e-185,-0.503041977575103,1,1,1.37338657224293e-180
"HSPA5",1.05281143435783e-184,1.07314554544283,0.977,0.677,3.54734284692526e-180
"DNAJA1",1.11629293260994e-183,1.08207090344284,0.978,0.686,3.76123740713594e-179
"RPS15",1.482463461949e-183,-0.335532550459034,1,1,4.99501238869097e-179
"SERPINH1",1.38919322314175e-180,1.57590185453307,0.719,0.269,4.68074764605382e-176
"NDUFA12",4.5323883340073e-180,0.740890388060849,0.932,0.481,1.52714292526042e-175
"RPL8",5.01620717711941e-179,-0.434376944448854,1,1,1.69016084625861e-174
"HOXA9",1.59138310568522e-178,1.33758404271239,0.507,0.105,5.36200623629578e-174
"RPS19",3.32120186160319e-177,-0.42078920782334,1,1,1.11904575524858e-172
"KLF2",6.60249056689561e-175,2.03561305660966,0.487,0.111,2.22464317160981e-170
"RPS18",4.2601427491798e-174,-0.387542589672018,1,1,1.43541249790864e-169
"CYB5R3",5.7163704053521e-174,0.956233639460979,0.714,0.236,1.92607384437934e-169
"HIST1H4C",2.19107800543621e-169,1.54134100942172,0.78,0.351,7.38261823151677e-165
"HSP90AA1",4.14652347338599e-167,0.902088845824446,1,0.974,1.39712961912267e-162
"UBE2S",1.30373278260844e-164,1.04591289364679,0.839,0.414,4.39279723772089e-160
"RPLP0",1.19126656954167e-159,-0.429169001438785,1,0.997,4.01385357941371e-155
"ACBD3",1.47743578287496e-158,0.920090641078413,0.673,0.222,4.97807212681888e-154
"RPL13A",5.31090536893236e-157,-0.385610086783894,1,1,1.78945645500807e-152
"DNAJB11",2.13695991655939e-156,0.830820471357216,0.871,0.413,7.20027274285522e-152
"ACTN1",3.87796347981234e-155,0.818614626846553,0.789,0.324,1.30664101488797e-150
"TSPAN13",5.32856839106407e-154,1.1033610620127,0.829,0.39,1.79540783368513e-149
"CLPTM1L",6.27368346630239e-154,0.943521236105894,0.652,0.214,2.11385490713593e-149
"RPS3",6.69146356802623e-154,-0.392315461865341,1,1,2.25462173461076e-149
"NR2F6",8.42632247193109e-154,0.841012578092966,0.666,0.217,2.83916509369246e-149
"NUCB2",1.08900344840063e-153,1.04984365867903,0.571,0.169,3.6692882190411e-149
"DHRS7",2.2047490543855e-153,0.883158402768457,0.752,0.302,7.42868146384652e-149
"RHBDD2",2.84660851260755e-153,0.866714262992307,0.686,0.239,9.59136272237987e-149
"HOXB6",9.55156843494042e-152,1.69675607839415,0.395,0.065,3.21830546846883e-147
"DNAJB1",1.10130522059207e-151,1.16542414554721,0.974,0.712,3.71073781026291e-147
"RPL10",2.14773565438944e-151,-0.503768305065673,1,1,7.23658051389978e-147
"PODXL2",3.36888536896161e-151,1.15239759311519,0.537,0.149,1.13511223621793e-146
"IFI6",7.7464300131631e-151,2.01755945003155,0.672,0.299,2.61008212863517e-146
"DAP",1.50388837566256e-150,0.782789003240621,0.783,0.316,5.06720149295743e-146
"SMC4",1.79419922076433e-150,1.13982166572396,0.563,0.172,6.04537485444332e-146
"COL1A1",1.22105910804834e-148,2.12131971636103,0.341,0.04,4.11423655865809e-144
"SELM",1.91107788933667e-148,1.26103963422446,0.67,0.276,6.43918584033097e-144
"UBE2M",2.28718830705261e-148,0.907972295136929,0.702,0.256,7.70645228178307e-144
"ECI1",1.17148644229149e-146,0.873480909885569,0.749,0.304,3.94720641865695e-142
"RPL34",1.2019026260173e-146,-0.390667894877781,1,1,4.04969070810268e-142
"TSC22D3",1.26668751964976e-146,1.13558247091413,0.559,0.168,4.26797692870788e-142
"ZFAND2A",2.58805663041104e-146,1.43153794019457,0.767,0.357,8.72019801050695e-142
"ECH1",2.66721004063078e-146,0.713798389129482,0.89,0.523,8.98689751090136e-142
"ABHD3",8.17389600424991e-146,1.22890060788265,0.561,0.172,2.75411251967196e-141
"PSMD1",6.62336486128812e-145,0.779981708879785,0.733,0.284,2.23167655636242e-140
"AHSA1",8.95898597822164e-145,0.778127559560032,0.862,0.43,3.018640735502e-140
"LGALS1",6.63939675812704e-144,0.820917617137584,0.571,0.182,2.23707834368332e-139
"ADGRG1",8.38042987552695e-144,0.894349461579403,0.609,0.193,2.82370204226005e-139
"CKAP4",1.6130791586073e-143,0.946187774491452,0.704,0.275,5.43510891701145e-139
"DUSP4",2.1675205079233e-143,1.98041707939401,0.469,0.134,7.30324359939678e-139
"IMPA2",1.23101969417373e-140,0.958019144611354,0.612,0.204,4.14779775754898e-136
"NR2F2",2.3642057615501e-140,1.21763677180833,0.502,0.137,7.96595489296692e-136
"CALR",2.75931754227011e-140,0.640053315584908,0.997,0.864,9.2972445269249e-136
"PRR15L",1.08117983988218e-139,0.727486988558888,0.721,0.282,3.64292735249902e-135
"HSPA6",1.79971387744846e-139,2.82653359706505,0.388,0.087,6.06395593867483e-135
"DAG1",1.95657249002599e-139,0.967478201046862,0.544,0.155,6.59247534789358e-135
"BRD7",2.38759832772343e-139,0.715213729240746,0.729,0.272,8.04477380543133e-135
"ETV4",1.1826899674667e-138,0.777712231824649,0.686,0.259,3.98495557638231e-134
"TUBA4A",1.92430836884695e-138,0.735102533761276,0.775,0.336,6.48376461799291e-134
"MX1",6.02131215571064e-138,2.20279477209247,0.34,0.05,2.02882091774514e-133
"CSRP1",3.12620000296897e-137,0.711880135297063,0.707,0.266,1.05334182900036e-132
"FOXA2",3.44184286176939e-137,1.2475646190996,0.445,0.103,1.15969453384458e-132
"LMO4",4.19181807969969e-137,1.33256193915325,0.428,0.094,1.41239118377401e-132
"PFN2",6.19608408480838e-137,1.12707907846834,0.436,0.1,2.08770857153534e-132
"NSUN5",1.36217297067842e-136,0.744635411346313,0.625,0.204,4.58970560740386e-132
"NUDC",6.99387767657609e-136,0.688908862180763,0.943,0.583,2.35651714434555e-131
"YIPF3",1.1590211613865e-135,0.706947709163132,0.869,0.419,3.90520590117566e-131
"DNAJA4",3.35642388067917e-135,1.2700354825814,0.559,0.185,1.13091346235604e-130
"GRHPR",3.91214921393878e-135,0.655834646018448,0.873,0.426,1.31815955614453e-130
"SERPINA1",4.67984101865727e-135,1.72902803484049,0.475,0.139,1.57682563282638e-130
"KIF22",5.38451431835138e-135,1.03868253312869,0.432,0.097,1.81425825442532e-130
"RGS2",7.27210467015176e-135,2.46668962514079,0.337,0.05,2.45026294756093e-130
"C9orf3",7.58532627589977e-135,1.27154566122978,0.459,0.115,2.55579983540167e-130
"SRP54",7.96276169506268e-135,0.655496706456541,0.54,0.151,2.68297292553442e-130
"TRA2B",2.67196844009816e-134,0.76596039016716,0.928,0.527,9.00293046206674e-130
"FUCA1",3.88363733070211e-134,0.806431324133441,0.61,0.202,1.30855276220677e-129
"EEF1D",3.44645413238117e-133,-0.48796396975052,0.999,0.987,1.16124825536451e-128
"ZNF622",4.82000046795536e-133,0.738366450375404,0.716,0.276,1.62405095767288e-128
"NMT1",8.55294783578731e-133,0.84181473151517,0.497,0.131,2.88183024379018e-128
"XPO1",1.23184450890802e-132,0.744516459982508,0.662,0.232,4.15057688831469e-128
"TUBG1",1.85349595517539e-132,0.929581490699801,0.494,0.136,6.24516927136796e-128
"TACC1",2.1356017616076e-132,0.863906905717616,0.643,0.242,7.19569657556066e-128
"RSBN1L",2.81608806802029e-132,0.702162917497478,0.717,0.273,9.48852713638758e-128
"ISG15",5.86445400298931e-132,1.39681152213724,0.833,0.441,1.97596913176722e-127
"RRP36",9.92585412454893e-132,1.06962966174459,0.46,0.114,3.34441728872552e-127
"NASP",1.05593374708375e-131,0.830828909951784,0.721,0.302,3.55786316742399e-127
"ANG",1.23198673112208e-131,1.11799942147807,0.521,0.16,4.15105609184275e-127
"PEF1",2.90835023583488e-130,0.721611306781168,0.631,0.213,9.79939528462203e-126
"CLSTN1",3.06652734498903e-130,0.780733848339133,0.661,0.24,1.0332357236206e-125
"CALU",8.15758385821844e-130,0.742248029022392,0.757,0.321,2.74861630518812e-125
"SDHA",1.18793715863743e-129,0.621676344333061,0.776,0.329,4.00263546231296e-125
"EMC7",1.24135883144453e-129,0.746619754477543,0.801,0.358,4.1826344466692e-125
"PTGR1",1.3391943143505e-129,0.785522835042346,0.516,0.149,4.51228132277259e-125
"SCAMP2",1.53644251788515e-129,0.777206300405954,0.615,0.207,5.17688941976222e-125
"IGFBP4",1.11098601060866e-128,0.836165784290712,0.727,0.304,3.74335626414481e-124
"CALM1",2.07591459791401e-128,0.649052095884494,0.994,0.894,6.99458664621148e-124
