"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AASDHPPT",0,0.354161022037847,0.438,0.165,0
"ABHD12",0,0.384650689214178,0.456,0.17,0
"ABHD2",0,0.37229871814291,0.335,0.086,0
"ABI2",0,0.340678461986795,0.439,0.161,0
"AC005152.3",0,0.398884027335399,0.158,0.007,0
"ACAA2",0,0.404228872358085,0.344,0.077,0
"ACTG2",0,-3.38347026833398,0.048,0.372,0
"ACTL8",0,-0.957195804057679,0.019,0.322,0
"ACYP2",0,0.489825672170206,0.429,0.165,0
"ADD3",0,0.428940387737051,0.277,0.035,0
"AFMID",0,0.434070144311996,0.44,0.169,0
"AHNAK2",0,0.606641186898557,0.235,0.024,0
"AKAP13",0,0.356861985179901,0.349,0.104,0
"AKIRIN1",0,0.425440359677692,0.535,0.224,0
"AKT1S1",0,0.40203331727375,0.512,0.211,0
"ALCAM",0,0.527053320971796,0.573,0.183,0
"AMZ2",0,0.382771064203972,0.5,0.215,0
"AP2M1",0,0.725630878054242,0.881,0.796,0
"APOL6",0,0.363891775872779,0.273,0.05,0
"AR",0,0.644118516725806,0.454,0.185,0
"ARHGDIA",0,0.531200136638102,0.804,0.625,0
"ARL2BP",0,0.43256299105951,0.475,0.164,0
"ARPC2",0,0.734821028691325,0.952,0.927,0
"ASPHD1",0,0.276623895009759,0.189,0.019,0
"ATF5",0,0.442580572091801,0.419,0.143,0
"ATF6B",0,0.331259922585906,0.419,0.139,0
"ATG5",0,1.31244598162938,0.559,0.27,0
"ATM",0,0.309384376234249,0.28,0.059,0
"ATP2B1",0,0.39505484964932,0.458,0.174,0
"ATP5I",0,-1.25822412982655,0.775,0.958,0
"ATP5O",0,-0.668497984649298,0.574,0.904,0
"B2M",0,1.99468583032085,0.996,0.989,0
"BCAP29",0,0.714977175620473,0.613,0.201,0
"BFAR",0,0.387780142968763,0.532,0.224,0
"BIN1",0,0.293622418625966,0.255,0.053,0
"BIRC3",0,0.769459683961405,0.292,0.043,0
"BLCAP",0,0.386808197067742,0.489,0.192,0
"BOD1",0,0.412247238160541,0.47,0.196,0
"BRD2",0,0.538002910536553,0.82,0.645,0
"BRI3",0,-0.605521323562035,0.431,0.757,0
"C11orf1",0,0.33769421273023,0.483,0.184,0
"C16orf74",0,0.446703198687929,0.281,0.073,0
"C17orf62",0,0.406195962653332,0.479,0.19,0
"C1GALT1",0,0.478527774599159,0.395,0.101,0
"C1S",0,0.736381617118072,0.271,0.03,0
"C1orf61",0,-0.589309531527879,0.009,0.264,0
"C2orf40",0,0.583225864601524,0.177,0.007,0
"C6orf15",0,2.37402296336266,0.192,0.016,0
"CALR",0,1.24114213301966,0.978,0.841,0
"CANT1",0,0.531070897339187,0.5,0.14,0
"CAPS",0,-1.84813152914042,0.123,0.429,0
"CASC15",0,0.453502144180237,0.215,0.027,0
"CASP4",0,0.393415843019393,0.336,0.052,0
"CAV1",0,1.7724387759162,0.342,0.053,0
"CAV2",0,1.01521001124558,0.362,0.063,0
"CC2D1A",0,0.331341448166157,0.32,0.083,0
"CCDC6",0,0.455973293007087,0.514,0.183,0
"CCDC82",0,0.377465973638093,0.245,0.04,0
"CCDC88A",0,0.453626142325907,0.256,0.015,0
"CCDC90B",0,0.405574358659329,0.494,0.194,0
"CCND1",0,1.44446553814489,0.829,0.527,0
"CCNI",0,0.508825789972386,0.972,0.932,0
