"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOD",0,2.20635441395015,0.69,0.18,0
"AR",0,2.17276218793591,0.774,0.165,0
"CD24",0,2.15761803353386,0.995,0.827,0
"CRIP2",0,1.7968078512638,0.959,0.653,0
"DEGS2",0,2.41425764962551,0.698,0.16,0
"EFHD1",0,1.74516693077999,0.912,0.316,0
"IDH2",0,1.69525892226591,0.975,0.729,0
"LIN28B",0,2.34979089805197,0.56,0.101,0
"MUCL1",0,2.03884100709286,0.913,0.217,0
"REEP6",0,2.16077932902214,0.727,0.181,0
"RP11-206M11.7",0,2.27082239035304,0.81,0.171,0
"SPDEF",0,2.18435712948269,0.835,0.246,0
"TFAP2B",0,2.23648540996135,0.756,0.148,0
"TFF3",0,2.22604513709498,0.793,0.176,0
"TMC5",0,2.11223777450641,0.764,0.211,0
"RPL7",1.56391461749262e-301,-2.78187164414411,0.857,0.924,2.09236136674338e-297
"RPS6",1.29743965167047e-300,-1.75451115416453,0.989,0.99,1.73584450996992e-296
"RPL13",7.09697372823229e-292,-1.48931862523695,0.996,0.99,9.49504115100199e-288
"PDSS2",3.02109382682622e-286,2.24092517627467,0.731,0.26,4.0419214309108e-282
"SEPP1",1.79275906894543e-282,1.79741997244343,0.867,0.369,2.39853235834209e-278
"NGRN",3.6482874311203e-281,1.62659833258478,0.891,0.397,4.88104375409585e-277
"MLPH",2.86093194106807e-280,2.01384780541474,0.673,0.192,3.82764084395497e-276
"CERS4",7.61108960697927e-279,1.98215682718941,0.649,0.172,1.01828767851776e-274
"AIM1",9.78665383434268e-274,2.04148465758601,0.815,0.365,1.30935641649671e-269
"C6orf203",1.23795755861415e-273,2.08169677792452,0.805,0.358,1.65626341766987e-269
"RPL32",1.36719460909632e-273,-1.22200781361711,0.989,0.987,1.82916966750996e-269
"CTAG2",5.6789331087799e-271,2.20422959616149,0.515,0.097,7.59784460623663e-267
"IGKV3-15",6.60137945754667e-270,1.22904295108009,0.732,0.197,8.83198557625169e-266
"LGALS12",3.79405729780674e-267,2.50034455903361,0.435,0.068,5.07606925873563e-263
"MAEL",7.99273356648485e-267,2.13234417034153,0.488,0.088,1.06934782386001e-262
"PLA2G16",2.2958942220637e-264,1.67683806922377,0.883,0.445,3.07167687969902e-260
"RPS23",6.04097091666395e-264,-1.30063903130371,0.987,0.979,8.0822149894047e-260
"RPL23A",7.06065010003452e-264,-1.72794579938729,0.919,0.943,9.44644376883618e-260
"FABP7",6.90203621355927e-262,1.97861105078308,0.657,0.177,9.23423425012095e-258
"LINC00221",1.21430176245149e-261,2.12677286793447,0.501,0.096,1.62461432798385e-257
"EGLN3",7.0208889338259e-261,1.96375154616804,0.773,0.302,9.39324730456567e-257
"LINC01285",1.73115515471601e-260,2.0568234964333,0.573,0.131,2.31611248149456e-256
"CDK2AP2",4.58420324459547e-258,1.7003071021732,0.886,0.522,6.13320552094428e-254
"SEPHS2",9.39083702823315e-256,1.69689890379381,0.778,0.292,1.25640008600731e-251
"RPL27A",2.26681413580056e-255,-2.3334603474948,0.806,0.903,3.03277063228757e-251
"AZGP1",4.46016036847798e-254,1.5345500456782,0.94,0.493,5.9672485569867e-250
"MT-ATP8",6.03139358286762e-254,1.36088549275474,0.972,0.573,8.06940147451859e-250
"ATG5",1.02351755653856e-251,1.94984362586998,0.872,0.57,1.36936413889294e-247
"EPHX1",7.79596882843245e-249,1.88615665062868,0.844,0.472,1.04302266955598e-244
"CLDN3",1.97258869901806e-245,1.460638411335,0.925,0.431,2.63912642041626e-241
"AKR1A1",2.9537975673521e-245,1.48878900637204,0.919,0.638,3.95188576536038e-241
"SYNGR2",2.90387710540452e-243,1.34281171088056,0.959,0.718,3.8850971793207e-239
"RPLP2",7.33494022249763e-242,-1.37670447161134,0.985,0.972,9.81341652367958e-238
"RPS6KA5",1.06701206801211e-240,2.13676680773439,0.549,0.138,1.42755544579341e-236
"TMED10",3.92123868496668e-240,1.45397954667138,0.921,0.666,5.24622523661692e-236
"IGKV3-20",1.56988925351368e-238,0.640483691955215,0.757,0.226,2.10035483227595e-234
"ALDH3B2",2.73514734089829e-234,2.07644706104257,0.586,0.169,3.65935362738782e-230
"TMSB15A",6.9549332835012e-234,1.88558680137212,0.562,0.137,9.30500523999626e-230
"IGKV4-1",7.72643836055083e-230,0.496304346434489,0.708,0.207,1.0337201882581e-225
"TPT1",2.39005240096644e-228,-1.2414623113279,0.994,0.983,3.197651107253e-224
"RPS14",4.71801541696789e-227,-1.19425513443456,0.982,0.981,6.31223282636134e-223
"RPL26",1.22150021218806e-226,-2.80054388988897,0.723,0.852,1.63424513388641e-222
"CYBA",1.12089502948788e-225,-3.79277517924836,0.079,0.621,1.49964545995183e-221
"RPL27",1.4959194962533e-225,-1.67955229331399,0.91,0.913,2.00139069403728e-221
"SLC9A3R1",2.7210290843208e-222,1.35431032214859,0.916,0.6,3.6404648119128e-218
"TM7SF2",9.73118857322778e-222,2.0500321751348,0.632,0.217,1.30193571921215e-217
"RPL9",1.0200353203984e-221,-1.25096535217419,0.96,0.954,1.36470525516102e-217
"S100A6",1.30725450516616e-220,-3.42403250080032,0.297,0.724,1.7489758024618e-216
"RPS18",5.80545065914534e-220,-1.199876853048,0.996,0.996,7.76711243687055e-216
