Genes,Freq
ABCA13,21.25%
AHNAK2,28.56%
AHNAK,25.36%
ANK2,31.92%
ANK3,20.60%
APC,12.12%
APOB,56.96%
ARID1A,43.78%
ATRX,27.92%
BAGE2,24.74%
BIRC6,29.07%
BRAF,22.40%
C1orf173,28.05%
CACNA1E,27.80%
CNTNAP5,27.68%
COL11A1,52.01%
COL22A1,27.02%
COL6A3,33.54%
CSMD1,15.82%
CSMD2,44.71%
CSMD3,11.61%
CUBN,18.05%
DCHS2,21.97%
DMD,18.23%
DNAH10,19.77%
DNAH11,21.53%
DNAH17,17.23%
DNAH3,27.82%
DNAH5,33.25%
DNAH7,43.66%
DNAH8,31.32%
DNAH9,27.34%
DSCAM,19.23%
DST,35.58%
FAM135B,32.61%
FAT1,19.25%
FAT2,22.39%
FAT3,19.76%
FAT4,35.57%
FBN2,22.49%
FCGBP,32.92%
FLG,33.56%
FMN2,17.30%
FRAS1,26.60%
GPR112,34.08%
GPR98,35.76%
HERC2,42.61%
HMCN1,12.95%
HUWE1,15.61%
HYDIN,34.66%
IDH1,3.24%
KIAA1109,17.05%
KMT2C,38.14%
KMT2D,18.68%
KRAS,17.67%
LAMA1,15.35%
LAMA2,26.49%
LRP1B,11.88%
LRP2,34.42%
MACF1,35.20%
MUC16,28.99%
MUC17,31.21%
MUC5B,28.13%
MXRA5,19.46%
NAV3,23.21%
NEB,25.94%
NF1,26.24%
OBSCN,16.46%
PAPPA2,30.69%
PCDH15,49.60%
PCLO,23.33%
PEG3,27.00%
PIK3CA,36.27%
PKHD1L1,14.65%
PKHD1,56.64%
PLEC,23.98%
PTEN,36.43%
RELN,17.26%
RP1,36.20%
RYR1,35.15%
RYR2,31.10%
RYR3,30.33%
SACS,23.34%
SI,18.23%
SPTA1,29.94%
SSPO,28.04%
SYNE1,56.45%
SYNE2,19.90%
TENM1,26.54%
TG,23.65%
THSD7B,25.61%
TP53,56.58%
TPTE,12.29%
TTN,35.21%
UNC13C,23.33%
USH2A,25.97%
XIRP2,36.96%
XIST,32.94%
ZFHX4,34.48%
ZNF536,28.31%
